aX,aY,aZ,gX,gY,gZ
0.996,0.004,-0.415,178.833,10.864,15.259
1.020,0.037,-0.429,109.863,1.038,-1.221
1.036,0.081,-0.469,68.542,-3.357,-8.667
1.029,0.105,-0.484,32.654,-7.202,-15.442
1.007,0.119,-0.482,-8.423,-13.306,-26.428
0.929,0.156,-0.475,-16.479,-15.381,-29.663
0.968,0.054,-0.459,-25.940,-17.334,-33.264
1.097,-0.067,-0.382,-38.696,-17.578,-34.790
1.041,-0.099,-0.346,-91.309,-18.372,-36.316
0.953,-0.161,-0.307,-117.554,-19.165,-36.621
0.949,-0.148,-0.320,-139.465,-19.897,-38.269
0.908,-0.067,-0.264,-138.672,-19.775,-38.757
0.883,-0.068,-0.228,-125.488,-19.958,-37.476
1.059,-0.152,-0.284,-110.718,-19.714,-37.231

-1.213,0.521,1.280,-54.565,-299.683,243.408
-1.414,0.565,1.356,-54.932,-278.015,303.711
-1.944,0.704,1.547,-60.791,-259.155,335.510
-2.268,0.811,1.660,-84.656,-203.125,402.222
-2.987,1.134,1.995,-101.196,-174.255,434.936
-3.432,1.308,2.232,-54.687,-103.577,497.314
-4.000,1.424,2.839,0.793,-58.838,523.010
-4.000,1.482,3.273,34.851,66.956,554.993
-3.992,1.680,4.000,10.315,171.997,559.814
-3.988,1.777,4.000,-16.541,316.956,554.932
-3.995,1.819,3.830,-78.796,693.848,506.836
-4.000,1.666,2.125,-121.216,899.658,460.144
-4.000,1.515,0.530,-202.209,1265.381,326.843
-4.000,1.521,-3.344,-214.050,1397.766,254.700
-4.000,1.465,-4.000,-106.995,1496.582,152.771
-4.000,0.631,-4.000,-37.354,1438.965,137.756
-4.000,0.012,-3.969,-148.926,1153.687,111.938
-3.937,-0.177,-3.978,-301.941,980.652,66.589
-3.465,0.138,-4.000,-445.007,659.790,-52.673
-1.313,0.672,-4.000,-366.028,514.038,-87.524
-0.444,0.637,-4.000,-215.576,376.953,-92.834
0.077,0.323,-3.999,99.670,132.019,-53.406
0.091,0.256,-4.000,178.101,28.381,-36.011
0.055,0.246,-4.000,202.759,-141.968,-35.156
-0.128,0.298,-4.000,162.964,-210.022,-46.936
-0.223,0.422,-3.999,4.517,-315.735,-75.317
-0.349,0.694,-3.594,-43.579,-354.675,-86.914
-0.393,0.744,-3.124,-8.850,-411.072,-123.108
-0.403,0.548,-2.241,26.978,-423.828,-148.926
