aX,aY,aZ,gX,gY,gZ
0.195,0.259,-0.939,-177.490,-58.472,130.920
0.196,0.260,-0.932,-175.720,-52.612,136.047
0.202,0.263,-0.952,-179.260,-42.542,142.944
0.217,0.262,-0.994,-180.298,-38.208,144.958
0.220,0.258,-1.006,-190.674,-31.006,145.996
0.242,0.279,-1.025,-204.895,-28.259,145.264
0.253,0.288,-1.022,-227.844,-23.071,141.602
0.308,0.303,-1.013,-230.591,-20.508,139.038
0.336,0.290,-1.001,-233.032,-15.076,134.033
0.386,0.261,-0.977,-238.586,-12.085,132.019
0.413,0.245,-0.965,-250.793,-5.432,128.540
0.453,0.212,-0.952,-253.845,-2.014,126.953
0.468,0.196,-0.924,-254.456,1.099,125.366
0.542,0.170,-0.895,-250.671,5.859,123.413
0.568,0.158,-0.881,-249.451,8.057,122.925
0.576,0.146,-0.867,-250.854,12.817,122.314
0.565,0.128,-0.852,-249.756,15.076,121.704
0.559,0.125,-0.849,-241.394,17.639,120.178
0.555,0.119,-0.844,-237.793,18.127,119.690
0.563,0.125,-0.823,-231.812,19.043,119.751
0.586,0.128,-0.787,-226.440,19.897,119.385
0.593,0.121,-0.766,-211.121,22.461,116.760
0.595,0.099,-0.745,-206.055,23.621,114.319
0.598,0.094,-0.742,-205.811,24.536,111.511
0.595,0.096,-0.731,-213.684,25.635,105.530
0.600,0.102,-0.716,-215.759,25.879,102.417
0.619,0.099,-0.713,-214.050,26.428,95.398
0.658,0.095,-0.698,-213.501,26.794,91.797
0.670,0.090,-0.682,-215.149,26.489,86.060
0.672,0.064,-0.639,-214.783,25.391,84.290
0.674,0.045,-0.632,-205.139,21.606,83.618
0.726,0.010,-0.614,-198.486,19.836,84.717
0.777,-0.002,-0.619,-197.510,18.738,88.562
0.827,0.024,-0.597,-202.393,19.165,90.759
0.849,0.058,-0.585,-205.811,19.897,92.712
0.892,0.083,-0.574,-197.693,20.569,95.581
0.976,0.116,-0.530,-187.805,20.203,96.375
1.007,0.130,-0.504,-173.828,18.433,96.619
1.047,0.178,-0.433,-170.288,17.090,95.703
1.045,0.212,-0.368,-169.678,12.268,91.492
1.083,0.299,-0.250,-170.654,8.484,88.196
1.128,0.329,-0.210,-156.311,0.427,80.017
1.197,0.360,-0.107,-145.325,-3.113,75.745
1.220,0.360,-0.057,-136.597,-10.986,66.895
1.253,0.359,0.039,-137.329,-15.137,62.439

-1.622,0.283,0.880,-75.623,-294.373,462.830
-1.872,0.305,0.863,-93.811,-257.812,513.855
-2.563,0.256,0.871,-90.210,-235.779,536.194
-2.912,0.388,0.738,-111.023,-175.964,581.177
-3.591,0.406,0.649,-161.377,-134.583,604.858
-3.943,0.429,0.648,-250.427,-27.283,646.851
-4.000,0.927,0.720,-274.841,35.950,664.734
-4.000,1.272,0.761,-294.800,176.086,701.721
-3.990,1.824,0.879,-275.513,254.517,717.407
-3.997,1.940,0.941,-251.160,339.233,726.440
-4.000,2.006,0.870,-281.555,555.664,705.810
-4.000,2.169,-0.108,-336.304,705.688,663.513
-4.000,2.208,-1.147,-415.832,1091.431,493.591
-4.000,2.015,-3.786,-421.509,1305.420,370.056
-4.000,1.738,-4.000,-387.451,1694.397,91.980
-4.000,1.451,-4.000,-364.868,1835.937,-32.837
-4.000,1.414,-3.966,-493.835,1856.018,-232.666
-4.000,-0.201,-3.990,-659.790,1685.181,-339.722
-4.000,-1.095,-4.000,-669.861,1118.591,-519.043
-4.000,-1.639,-4.000,-425.171,844.238,-518.372
-3.911,-1.424,-4.000,157.532,471.008,-348.450
-3.200,-0.992,-4.000,318.176,354.126,-245.422
-2.925,-0.863,-4.000,360.413,262.878,-162.842
-2.856,-0.732,-3.995,240.967,134.949,-80.200
-2.830,-0.387,-3.623,148.254,95.825,-67.627
-2.756,-0.203,-3.287,46.387,57.068,-61.584
-2.383,-0.122,-2.905,62.744,55.420,-61.951
-1.985,-0.160,-2.871,118.225,86.304,-67.749
-1.294,-0.159,-2.763,102.844,112.976,-72.266
-1.211,-0.136,-2.701,44.495,164.795,-88.013
